"player_name","pitch_count","total_pitches","CH","CU","FC","FF","FS","SI","SL","ST","SV","KC","KN","CS","PO","rank_FF","rank_SL","rank_SI","rank_CH","rank_CU","rank_FC","rank_FS","rank_ST","rank_SV","rank_KC","cluster"
"Gallen, Zac",1,104,0,0,0,0,0,0.00961538461538462,0,0,0,0,0,0,0,73,79,155,75,80.5,82.5,88.5,86,90.5,87,4
"Gallen, Zac",2,104,0,0,0,0,0,0,0.0192307692307692,0,0,0,0,0,0,73,158,77.5,75,80.5,82.5,88.5,86,90.5,87,2
"Gausman, Kevin",55,98,0,0,0,0.561224489795918,0,0,0,0,0,0,0,0,0,177,79,77.5,75,80.5,82.5,88.5,86,90.5,87,3
"Gausman, Kevin",37,98,0,0,0,0,0.377551020408163,0,0,0,0,0,0,0,0,73,79,77.5,75,80.5,82.5,181,86,90.5,87,2
"Gausman, Kevin",6,98,0,0,0,0,0,0,0.0612244897959184,0,0,0,0,0,0,73,161,77.5,75,80.5,82.5,88.5,86,90.5,87,2
"Gibson, Kyle",15,80,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,174,80.5,82.5,88.5,86,90.5,87,1
"Gibson, Kyle",6,80,0,0.075,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,75,167,82.5,88.5,86,90.5,87,2
"Gibson, Kyle",10,80,0,0,0.125,0,0,0,0,0,0,0,0,0,0,73,79,77.5,75,80.5,172,88.5,86,90.5,87,2
"Gibson, Kyle",26,80,0,0,0,0.325,0,0,0,0,0,0,0,0,0,163,79,77.5,75,80.5,82.5,88.5,86,90.5,87,3
"Gibson, Kyle",14,80,0,0,0,0,0,0.175,0,0,0,0,0,0,0,73,79,166,75,80.5,82.5,88.5,86,90.5,87,4
"Gibson, Kyle",9,80,0,0,0,0,0,0,0,0.1125,0,0,0,0,0,73,79,77.5,75,80.5,82.5,88.5,175,90.5,87,2
"Gilbert, Logan",28,97,0,0,0,0.288659793814433,0,0,0,0,0,0,0,0,0,157,79,77.5,75,80.5,82.5,88.5,86,90.5,87,3
"Gilbert, Logan",23,97,0,0,0,0,0.237113402061856,0,0,0,0,0,0,0,0,73,79,77.5,75,80.5,82.5,179,86,90.5,87,2
"Gilbert, Logan",8,97,0,0,0,0,0,0,0,0,0,0.0824742268041237,0,0,0,73,79,77.5,75,80.5,82.5,88.5,86,90.5,176,2
"Gilbert, Logan",38,97,0,0,0,0,0,0,0.391752577319588,0,0,0,0,0,0,73,176,77.5,75,80.5,82.5,88.5,86,90.5,87,2
"Giolito, Lucas",85,198,0.429292929292929,0,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,181,80.5,82.5,88.5,86,90.5,87,1
"Giolito, Lucas",3,198,0,0.0151515151515152,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,75,161,82.5,88.5,86,90.5,87,2
"Giolito, Lucas",64,198,0,0,0,0.323232323232323,0,0,0,0,0,0,0,0,0,162,79,77.5,75,80.5,82.5,88.5,86,90.5,87,3
"Giolito, Lucas",46,198,0,0,0,0,0,0,0.232323232323232,0,0,0,0,0,0,73,168,77.5,75,80.5,82.5,88.5,86,90.5,87,2
"Gray, Sonny",5,55,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,162.5,80.5,82.5,88.5,86,90.5,87,1
"Gray, Sonny",11,55,0,0.2,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,75,175,82.5,88.5,86,90.5,87,2
"Gray, Sonny",6,55,0,0,0.109090909090909,0,0,0,0,0,0,0,0,0,0,73,79,77.5,75,80.5,170,88.5,86,90.5,87,2
"Gray, Sonny",14,55,0,0,0,0.254545454545455,0,0,0,0,0,0,0,0,0,156,79,77.5,75,80.5,82.5,88.5,86,90.5,87,3
"Gray, Sonny",7,55,0,0,0,0,0,0.127272727272727,0,0,0,0,0,0,0,73,79,161,75,80.5,82.5,88.5,86,90.5,87,4
"Gray, Sonny",12,55,0,0,0,0,0,0,0,0.218181818181818,0,0,0,0,0,73,79,77.5,75,80.5,82.5,88.5,179,90.5,87,2
"Javier, Cristian",15,165,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,162.5,80.5,82.5,88.5,86,90.5,87,1
"Javier, Cristian",100,165,0,0,0,0.606060606060606,0,0,0,0,0,0,0,0,0,179,79,77.5,75,80.5,82.5,88.5,86,90.5,87,3
"Javier, Cristian",14,165,0,0,0,0,0,0,0,0,0,0.0848484848484849,0,0,0,73,79,77.5,75,80.5,82.5,88.5,86,90.5,177,2
"Javier, Cristian",36,165,0,0,0,0,0,0,0.218181818181818,0,0,0,0,0,0,73,167,77.5,75,80.5,82.5,88.5,86,90.5,87,2
"Keller, Mitch",1,86,0.0116279069767442,0,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,151,80.5,82.5,88.5,86,90.5,87,1
"Keller, Mitch",4,86,0,0.0465116279069767,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,75,164,82.5,88.5,86,90.5,87,2
"Keller, Mitch",31,86,0,0,0.36046511627907,0,0,0,0,0,0,0,0,0,0,73,79,77.5,75,80.5,180,88.5,86,90.5,87,2
"Keller, Mitch",25,86,0,0,0,0.290697674418605,0,0,0,0,0,0,0,0,0,159,79,77.5,75,80.5,82.5,88.5,86,90.5,87,3
"Keller, Mitch",20,86,0,0,0,0,0,0.232558139534884,0,0,0,0,0,0,0,73,79,173,75,80.5,82.5,88.5,86,90.5,87,4
"Keller, Mitch",5,86,0,0,0,0,0,0,0,0.0581395348837209,0,0,0,0,0,73,79,77.5,75,80.5,82.5,88.5,173,90.5,87,2
"Kelly, Merrill",16,93,0.172043010752688,0,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,171,80.5,82.5,88.5,86,90.5,87,1
"Kelly, Merrill",4,93,0,0.043010752688172,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,75,163,82.5,88.5,86,90.5,87,2
"Kelly, Merrill",26,93,0,0,0.279569892473118,0,0,0,0,0,0,0,0,0,0,73,79,77.5,75,80.5,178,88.5,86,90.5,87,2
"Kelly, Merrill",27,93,0,0,0,0.290322580645161,0,0,0,0,0,0,0,0,0,158,79,77.5,75,80.5,82.5,88.5,86,90.5,87,3
"Kelly, Merrill",17,93,0,0,0,0,0,0.182795698924731,0,0,0,0,0,0,0,73,79,167,75,80.5,82.5,88.5,86,90.5,87,4
"Kelly, Merrill",3,93,0,0,0,0,0,0,0.032258064516129,0,0,0,0,0,0,73,159,77.5,75,80.5,82.5,88.5,86,90.5,87,2
"Kikuchi, Yusei",4,76,0.0526315789473684,0,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,156,80.5,82.5,88.5,86,90.5,87,1
"Kikuchi, Yusei",19,76,0,0.25,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,75,180,82.5,88.5,86,90.5,87,2
"Kikuchi, Yusei",30,76,0,0,0,0.394736842105263,0,0,0,0,0,0,0,0,0,168,79,77.5,75,80.5,82.5,88.5,86,90.5,87,3
"Kikuchi, Yusei",23,76,0,0,0,0,0,0,0.302631578947368,0,0,0,0,0,0,73,173,77.5,75,80.5,82.5,88.5,86,90.5,87,2
"Kirby, George",48,152,0,0,0,0.315789473684211,0,0,0,0,0,0,0,0,0,161,79,77.5,75,80.5,82.5,88.5,86,90.5,87,3
"Kirby, George",23,152,0,0,0,0,0.151315789473684,0,0,0,0,0,0,0,0,73,79,77.5,75,80.5,82.5,178,86,90.5,87,2
"Kirby, George",4,152,0,0,0,0,0,0,0,0,0,0.0263157894736842,0,0,0,73,79,77.5,75,80.5,82.5,88.5,86,90.5,175,2
"Kirby, George",2,152,0,0,0,0,0,0,0,0,0,0,0.0131578947368421,0,0,73,79,77.5,75,80.5,82.5,88.5,86,90.5,87,2
"Kirby, George",34,152,0,0,0,0,0,0.223684210526316,0,0,0,0,0,0,0,73,79,172,75,80.5,82.5,88.5,86,90.5,87,4
"Kirby, George",41,152,0,0,0,0,0,0,0.269736842105263,0,0,0,0,0,0,73,170,77.5,75,80.5,82.5,88.5,86,90.5,87,2
"Kremer, Dean",7,88,0.0795454545454545,0,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,160,80.5,82.5,88.5,86,90.5,87,1
"Kremer, Dean",8,88,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,75,168,82.5,88.5,86,90.5,87,2
"Kremer, Dean",29,88,0,0,0.329545454545455,0,0,0,0,0,0,0,0,0,0,73,79,77.5,75,80.5,179,88.5,86,90.5,87,2
"Kremer, Dean",41,88,0,0,0,0.465909090909091,0,0,0,0,0,0,0,0,0,172,79,77.5,75,80.5,82.5,88.5,86,90.5,87,3
"Kremer, Dean",3,88,0,0,0,0,0,0.0340909090909091,0,0,0,0,0,0,0,73,79,159,75,80.5,82.5,88.5,86,90.5,87,4
"Luzardo, Jesús",18,100,0.18,0,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,172,80.5,82.5,88.5,86,90.5,87,1
"Luzardo, Jesús",38,100,0,0,0,0.38,0,0,0,0,0,0,0,0,0,167,79,77.5,75,80.5,82.5,88.5,86,90.5,87,3
"Luzardo, Jesús",44,100,0,0,0,0,0,0,0.44,0,0,0,0,0,0,73,180,77.5,75,80.5,82.5,88.5,86,90.5,87,2
"Lyles, Jordan",13,88,0.147727272727273,0,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,168,80.5,82.5,88.5,86,90.5,87,1
"Lyles, Jordan",3,88,0,0.0340909090909091,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,75,162,82.5,88.5,86,90.5,87,2
"Lyles, Jordan",6,88,0,0,0.0681818181818182,0,0,0,0,0,0,0,0,0,0,73,79,77.5,75,80.5,167,88.5,86,90.5,87,2
"Lyles, Jordan",31,88,0,0,0,0.352272727272727,0,0,0,0,0,0,0,0,0,165,79,77.5,75,80.5,82.5,88.5,86,90.5,87,3
"Lyles, Jordan",14,88,0,0,0,0,0,0.159090909090909,0,0,0,0,0,0,0,73,79,164,75,80.5,82.5,88.5,86,90.5,87,4
"Lyles, Jordan",21,88,0,0,0,0,0,0,0,0.238636363636364,0,0,0,0,0,73,79,77.5,75,80.5,82.5,88.5,180,90.5,87,2
"Lynn, Lance",13,85,0.152941176470588,0,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,169,80.5,82.5,88.5,86,90.5,87,1
"Lynn, Lance",6,85,0,0.0705882352941176,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,75,166,82.5,88.5,86,90.5,87,2
"Lynn, Lance",22,85,0,0,0.258823529411765,0,0,0,0,0,0,0,0,0,0,73,79,77.5,75,80.5,177,88.5,86,90.5,87,2
"Lynn, Lance",28,85,0,0,0,0.329411764705882,0,0,0,0,0,0,0,0,0,164,79,77.5,75,80.5,82.5,88.5,86,90.5,87,3
"Lynn, Lance",16,85,0,0,0,0,0,0.188235294117647,0,0,0,0,0,0,0,73,79,168,75,80.5,82.5,88.5,86,90.5,87,4
"López, Pablo",18,77,0.233766233766234,0,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,179,80.5,82.5,88.5,86,90.5,87,1
"López, Pablo",4,77,0,0.051948051948052,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,75,165,82.5,88.5,86,90.5,87,2
"López, Pablo",17,77,0,0,0,0.220779220779221,0,0,0,0,0,0,0,0,0,154,79,77.5,75,80.5,82.5,88.5,86,90.5,87,3
"López, Pablo",12,77,0,0,0,0,0,0.155844155844156,0,0,0,0,0,0,0,73,79,163,75,80.5,82.5,88.5,86,90.5,87,4
"López, Pablo",26,77,0,0,0,0,0,0,0,0.337662337662338,0,0,0,0,0,73,79,77.5,75,80.5,82.5,88.5,181,90.5,87,2
"Mikolas, Miles",3,184,0.016304347826087,0,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,153,80.5,82.5,88.5,86,90.5,87,1
"Mikolas, Miles",1,184,0,0,0,0,0,0,0,0,0,0,0,0.00543478260869565,0,73,79,77.5,75,80.5,82.5,88.5,86,90.5,87,2
"Mikolas, Miles",42,184,0,0.228260869565217,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,75,177,82.5,88.5,86,90.5,87,2
"Mikolas, Miles",67,184,0,0,0,0.364130434782609,0,0,0,0,0,0,0,0,0,166,79,77.5,75,80.5,82.5,88.5,86,90.5,87,3
"Mikolas, Miles",27,184,0,0,0,0,0,0.146739130434783,0,0,0,0,0,0,0,73,79,162,75,80.5,82.5,88.5,86,90.5,87,4
"Mikolas, Miles",44,184,0,0,0,0,0,0,0.239130434782609,0,0,0,0,0,0,73,169,77.5,75,80.5,82.5,88.5,86,90.5,87,2
"Montgomery, Jordan",24,94,0.25531914893617,0,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,180,80.5,82.5,88.5,86,90.5,87,1
"Montgomery, Jordan",22,94,0,0.234042553191489,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,75,178,82.5,88.5,86,90.5,87,2
"Montgomery, Jordan",21,94,0,0,0,0.223404255319149,0,0,0,0,0,0,0,0,0,155,79,77.5,75,80.5,82.5,88.5,86,90.5,87,3
"Montgomery, Jordan",27,94,0,0,0,0,0,0.287234042553192,0,0,0,0,0,0,0,73,79,176,75,80.5,82.5,88.5,86,90.5,87,4
"Nola, Aaron",14,83,0.168674698795181,0,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,170,80.5,82.5,88.5,86,90.5,87,1
"Nola, Aaron",2,83,0,0,0.0240963855421687,0,0,0,0,0,0,0,0,0,0,73,79,77.5,75,80.5,165,88.5,86,90.5,87,2
"Nola, Aaron",25,83,0,0,0,0.301204819277108,0,0,0,0,0,0,0,0,0,160,79,77.5,75,80.5,82.5,88.5,86,90.5,87,3
"Nola, Aaron",26,83,0,0,0,0,0,0,0,0,0,0.313253012048193,0,0,0,73,79,77.5,75,80.5,82.5,88.5,86,90.5,181,2
"Nola, Aaron",16,83,0,0,0,0,0,0.192771084337349,0,0,0,0,0,0,0,73,79,169,75,80.5,82.5,88.5,86,90.5,87,4
"Oviedo, Johan",11,91,0,0.120879120879121,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,75,169,82.5,88.5,86,90.5,87,2
"Oviedo, Johan",41,91,0,0,0,0.450549450549451,0,0,0,0,0,0,0,0,0,170,79,77.5,75,80.5,82.5,88.5,86,90.5,87,3
"Oviedo, Johan",1,91,0,0,0,0,0,0.010989010989011,0,0,0,0,0,0,0,73,79,156,75,80.5,82.5,88.5,86,90.5,87,4
"Oviedo, Johan",38,91,0,0,0,0,0,0,0.417582417582418,0,0,0,0,0,0,73,178,77.5,75,80.5,82.5,88.5,86,90.5,87,2
"Sears, JP",6,65,0.0923076923076923,0,0,0,0,0,0,0,0,0,0,0,0,73,79,77.5,164,80.5,82.5,88.5,86,90.5,87,1
"Sears, JP",42,65,0,0,0,0.646153846153846,0,0,0,0,0,0,0,0,0,181,79,77.5,75,80.5,82.5,88.5,86,90.5,87,3
"Sears, JP",5,65,0,0,0,0,0,0,0.0769230769230769,0,0,0,0,0,0,73,162,77.5,75,80.5,82.5,88.5,86,90.5,87,2
"Sears, JP",12,65,0,0,0,0,0,0,0,0.184615384615385,0,0,0,0,0,73,79,77.5,75,80.5,82.5,88.5,178,90.5,87,2
"Steele, Justin",51,84,0,0,0,0.607142857142857,0,0,0,0,0,0,0,0,0,180,79,77.5,75,80.5,82.5,88.5,86,90.5,87,3
"Steele, Justin",2,84,0,0,0,0,0,0.0238095238095238,0,0,0,0,0,0,0,73,79,157,75,80.5,82.5,88.5,86,90.5,87,4
"Steele, Justin",31,84,0,0,0,0,0,0,0.369047619047619,0,0,0,0,0,0,73,175,77.5,75,80.5,82.5,88.5,86,90.5,87,2
